Country;Date;Exchange rate to €;Gross in local currency;Net in local currency;Gross in €;Net in €;Net PPP in Int$(1)(2)
United Kingdom;2022-06 (2021);1.15[115];£3,155[114];£2,424[113];3,625;2786;3,497
Ukraine;2022-01;0.026[112];₴ 14,577[111];₴ 11,953[109][110];382;313;1,297
Turkey;2022-10;0.052[108];₺ 8,665[107];₺ 6,009[106];451;313;2,111
Switzerland;2020;1.0086[105];CHF 6,665[104];CHF 5,445[103];6,722;5493;4,928
Sweden;2022-07;0.0909[102];SEK 44,109[101];SEK 31,325[100];4,009;2847;3,626
Spain;2020;1;€2,406[99];€1,868[98];2,406;1868;3,141
Slovenia;2022-03;1;€2,002;€1,304[97];2,002;1304;2,337
Slovakia;2022/Q2;1;€1,291[96];€975[94][95];1,291;978;1,884
Serbia;2022-03;0.0085[93];RSD 100,727;RSD 73,012[92];856;621;1,741
San Marino;2017;1;€2,390;€2,390[91];2,445;2390;3,788
Russia;2022-Q2;0.0163[90];₽ 63,874[89];₽ 55,570[88];1,046;909;2,033
Romania;2022-09;0.2045[87];RON 6,457;RON 4,003[86];1,32;819;2,232
Ireland;2022-Q1;1;€3,819[53];€2,923[52];3,819;2923;4,043
Portugal;2022 - Q2;1;€1,679[85];€1,212[83][84];1,679;1212;2,248
Poland;2022-07;0.2048[82];PLN 6,779[81];PLN 4,951[79][80];1,389;1014;2,643
Norway;2022-07;0.1[78];NOK 50,790[77];NOK 37,100[76];5,095;3721;3,835
North Macedonia;2022-08;0.0162[75];MKD 47,691[74];MKD 31,871[73];773;517;1,639
Netherlands;2022-Q1;1;€3,823[72];€2,834[71];3,823;2834;3,744
Montenegro;2022-08;1;€890;€718[70];890;718;2,023
Moldova;2022-Q2;0.0533[69];MDL 10,376[68];MDL 8,309[67];553;443;1,291
Malta;2022;1;€1,706[66];€1,335[65];1,706;1335;2,459
Luxembourg;2018;1;€5,143[64];€3,573[63];5,143;3573;4,259
Lithuania;2022-Q2;1;€1,781[62];€1,116[62];1,781;1116;2,405
Latvia;2022-06;1;€1,383;€1,012[61];1,383;1012;2
Kosovo;2020;1;€466;€416[60];466;416;1,242
Kazakhstan;2022-03;0.00214[59];₸ 285,433[58];₸ 230,351[57];611;493;1,416
Italy;2022;1;€2,479[55][56];€1,740[54];2,479;1740;2,802
Iceland;2018;0.0071[51];ISK 721,000[50];ISK 490,000[48][49];5,124;3483;3,565
Hungary;2022-03;0.00253;HUF 507,500[47];HUF 349,700[46];1,284;885;2,238
Greece;2021-Q1;1;€1,355[45];€1,050[44];1,355;1050;1,977
Germany;2022-04;1;€4,105[43];€2,609[42];4,105;2609;3,521
Georgia;2022/Q2;0.37[41];₾1,541[40];₾1,233[39];571;457;1,225
France;2020;1;€3,530[38];€2,355[37];3,53;2473;3,402
Finland;2021-Q1;1;€3,653[36];€2,509[35];3,653;2509;2,955
Estonia;2022-06;1;€1,754[34];€1,419[33];1,754;1419;2,594
Denmark;2019;0.1345[32];DKK 46,070[31];DKK 29,102[29][30];6,173;3900;4,361
Czech Republic;2022/Q2;0.0406[28];CZK 40,086[27];CZK 32,231[26];1,626;1308;2,513
Cyprus;2019-Q3;1;€1,992[25];€1,658;1,992;1658;2,75
Croatia;2022-03;0.1328[24];HRK 10,492;HRK 7,711[23];1,393;1024;2,41
Bulgaria;2022-Q2;0.5113[22];BGN 1,730[21];BGN 1,342[20];885;686;1,67
Bosnia and Herzegovina;2020-10;0.5113[19];BAM 1,658[18];BAM 1,083[17];848;554;1,621
Belgium;2020;1;€3,832[16];€2,136[15];3,832;2136;2,867
Belarus;2022-07;0.4[14];BYN 1,644[13];BYN 1,430[12];657;572;1,706
Azerbaijan;2022-01;0.6[11];₼ 766[10];₼ 659[9];461;397;1,189
Austria;2020;1;€3,670[8];€2,633[8];3,67;2633;3,446
Armenia;2022-08;0.002548[7];֏ 239,742[6];֏ 173,108[5];611;411;1,051
Albania;2021-Q2;0.0082[4];ALL 56,710[3];ALL 46,887[3];465;384;1,14
